credits,code,name,university_code,source
15,1323,PROGRAMACION 3,FING,exam
14,MHC24,GENÉTICA GENERAL,FCIEN,calidad_libre
13,FD1,ETICA I,FHUM,calidad_libre
13,1062,CALCULO DIF. E INTEGRAL EN VARIAS VARIABLES,FING,exam
13,1061,CALCULO DIF. E INTEGRAL EN UNA VARIABLE,FING,exam
13,MHC16,BIOQUÍMICA 1 (2020-2024),FCIEN,calidad_libre
12,RN253,FISICA 2 BIOCIENCIAS 2017,CUR,calidad_libre
12,RN252,FISICA 1 BIOCIENCIAS 2017,CUR,calidad_libre
12,1454,ASPECTOS BASICOS DE REDES DE COMPUT,FING,exam
11,MHC39,BIOQUÍMICA I (2025-,FCIEN,exam
10,S42,SOCIOLOGÍA DE LA EMPRESA Y MANAGEMENT,FCEA,exam
10,1025,PROBABILIDAD Y ESTADISTICA,FING,exam
10,2041,METODOS NUMERICOS,FING,calidad_libre
10,1064,INT. A LAS ECUACIONES DIFERENCIALES,FING,exam
10,1131,INT. A LA FISICA MODERNA,FING,exam
10,1159,INT. A LA FISICA MODERNA,FING,exam
10,A62,GESTIÓN DE LA INNOVACIÓN Y LA TECNOLOGÍA,FCEA,exam
10,MHC20,GENÓMICA (2021-2024),FCIEN,calidad_libre
10,1153,FISICA 3,FING,exam
10,1152,FISICA 2,FING,exam
10,1151,FISICA 1,FING,exam
10,RN115,ESTADÍSTICA I 2022,CUR,calidad_libre
10,MC10,CÁLCULO I,FCEA,calidad_libre
10,1063,CALCULO VECTORIAL,FING,exam
10,1466,ARQUITECTURA DE COMPUTADORAS,FING,exam
9,1026,MATEMATICA DISCRETA 2,FING,exam
9,1023,MATEMATICA DISCRETA 1,FING,exam
9,1031,GEOMETRIA Y ALGEBRA LINEAL 2,FING,exam
9,1030,GEOMETRIA Y ALGEBRA LINEAL 1,FING,exam
9,O1145,COMUNICACIÓN ESTRATÉGICA,FIC,exam
9,24CIA,COMUNICACIÓN E INTELIGENCIA ARTIFICIAL (PPP),FIC,calidad_libre
8,O6521,TEORÍAS Y PRÁCTICAS DE LA ACCESIBILIDAD EN LA COMUNICACIÓN,FIC,calidad_libre
8,O7246,TECNOLOGÍAS DE DIGITALIZACIÓN Y TRANSCODIFICACIÓN. IDENTIFICACIÓN Y PRESERVACIÓN,FIC,exam
8,O6211,TECNOLOGÍA DE MEDIOS AL SERVICIO DE LA PRESERVACIÓN DEL PATRIMONIO HISTÓRICO DOC,FIC,calidad_libre
8,C216,"EPISTEMOLOGIA, ETICA Y EDUCACION",FHUM,calidad_libre
8,1510,CONTROL DE CALIDAD,FING,exam
8,1223,"CIENCIA, TECNOLOGIA Y SOCIEDAD",FING,exam
7,102EU,QUÍMICA GENERAL I,FQ,calidad_libre
7,1224,ECONOMIA,FING,exam
6,D87,TEORÍA DE JUEGOS,FCS,exam
6,2401,LEGISLACION Y RELACIONES INDUSTRIALES,FING,exam
6,2040,INICIACION A LA PROD. AUDIOVIS. Y MULTIMEDIA,FING,calidad_libre
5,1945,PRACTICA DE ADMINISTRACION PARA INGENIEROS,FING,exam
5,103EU,INT. A LAS C. BIOLÓGICAS I,FQ,calidad_libre
5,1066,FUNCIONES DE VARIABLE COMPLEJA,FING,exam
5,1453,COMPL.ARQUITECTURA DE COMPUTADORAS,FING,exam
5,1944,ADMINISTRACION GENERAL PARA INGENIEROS,FING,exam
4,MI2,MATEMATICA INICIAL,FING,exam
4,816EU,INGLES CIENTÍFICO,FQ,calidad_libre
3,1275,TALLER BASICO DE ESTRATEGIAS Y ORIENTACION (TBEO),FING,calidad_libre
3,558EU,EPISTEMOLOGÍA,FQ,calidad_libre
2,V2110,TALLER DE ÉTICA,FVET,calidad_libre
2,AT001,SENSIBILIZACIÓN E INTERCAMBIO PARA LA EQUIDAD,FCIEN,calidad_libre
1,2107A,TALLER DE COMUNICACIÓN ORAL Y ESCRITA,FVET,calidad_libre
